wl_position,days_before,distance_km,journey_month,day_of_week,festival,wl_type_score,class_demand,quota_demand,popularity,final_status
96,53,1537,11,2,1,0.35,0.72,0.92,98,RAC
170,17,165,12,3,0,0.35,0.8,0.92,66,WAITING
171,37,995,8,5,0,0.45,0.72,0.75,74,WAITING
56,22,463,1,2,0,0.75,0.72,0.75,51,RAC
180,18,230,4,6,1,0.35,0.72,0.95,93,WAITING
143,58,1315,11,1,1,0.75,0.65,0.75,79,WAITING
145,27,1291,9,5,0,1.0,0.72,0.92,83,WAITING
8,11,1198,12,1,0,0.45,0.85,0.92,94,CONFIRMED
17,17,717,8,3,0,0.45,0.72,0.95,78,RAC
43,53,681,7,3,0,1.0,0.8,0.95,76,CONFIRMED
148,55,1204,4,0,0,0.45,0.85,0.75,76,WAITING
37,2,444,1,4,0,0.45,0.85,0.92,94,WAITING
71,27,1519,6,0,0,0.35,0.65,0.75,65,RAC
54,49,946,6,1,0,0.35,0.78,0.75,66,CONFIRMED
50,19,533,7,2,0,0.75,0.78,0.95,65,WAITING
144,47,1292,5,6,0,0.75,0.85,0.75,91,WAITING
50,53,525,1,5,0,0.45,0.72,0.92,76,CONFIRMED
81,57,1345,11,0,1,0.35,0.72,0.95,100,RAC
54,9,1383,8,1,0,0.35,0.65,0.92,89,WAITING
147,17,471,5,1,1,0.45,0.72,0.92,87,WAITING
46,6,562,5,1,1,0.35,0.78,0.95,86,WAITING
162,8,1018,10,0,1,0.45,0.8,0.92,97,WAITING
9,48,1524,1,2,0,0.75,0.8,0.92,82,CONFIRMED
25,58,1209,6,1,0,1.0,0.72,0.92,82,CONFIRMED
106,49,1557,4,1,1,0.45,0.72,0.75,79,WAITING
161,0,640,11,2,0,0.45,0.8,0.75,62,WAITING
93,18,1415,11,6,0,0.45,0.72,0.92,89,WAITING
10,17,1582,10,3,0,0.45,0.85,0.95,93,CONFIRMED
126,40,1529,4,1,0,0.45,0.85,0.92,98,WAITING
174,49,334,5,4,1,0.35,0.65,0.92,100,WAITING
74,52,1629,10,6,1,0.75,0.8,0.95,100,RAC
116,55,1284,4,4,0,1.0,0.8,0.95,82,RAC
163,55,728,6,6,0,0.75,0.85,0.95,81,WAITING
66,27,504,3,2,0,1.0,0.8,0.75,52,RAC
6,59,1456,12,2,0,0.75,0.85,0.92,92,CONFIRMED
157,2,594,3,3,0,0.35,0.72,0.95,77,WAITING
26,22,825,6,2,0,0.45,0.78,0.75,51,CONFIRMED
89,12,1135,6,4,0,0.75,0.85,0.92,100,WAITING
10,32,931,4,3,0,0.35,0.65,0.92,81,CONFIRMED
141,32,1697,2,6,0,0.45,0.65,0.92,98,WAITING
28,0,1536,4,1,0,0.35,0.78,0.95,80,WAITING
45,1,475,1,6,0,0.45,0.85,0.95,96,WAITING
148,10,778,3,2,0,0.35,0.78,0.95,62,WAITING
176,46,1199,12,6,0,0.75,0.72,0.75,71,WAITING
30,24,1049,1,5,0,1.0,0.8,0.95,89,CONFIRMED
70,3,878,5,5,1,0.75,0.72,0.75,77,WAITING
178,20,518,11,0,1,1.0,0.72,0.95,86,WAITING
169,54,630,11,5,0,1.0,0.78,0.92,76,WAITING
27,8,157,5,2,0,0.75,0.8,0.92,65,WAITING
55,10,185,5,6,1,1.0,0.72,0.95,90,WAITING
80,54,1285,4,0,0,0.45,0.8,0.75,69,CONFIRMED
75,42,575,8,4,0,1.0,0.8,0.75,65,CONFIRMED
112,0,797,6,2,0,0.35,0.65,0.95,77,WAITING
154,59,170,3,6,0,0.35,0.78,0.92,73,WAITING
121,6,523,11,5,1,0.45,0.78,0.92,90,WAITING
178,52,1265,10,3,1,0.45,0.72,0.75,91,WAITING
173,55,1234,2,0,0,1.0,0.65,0.92,80,WAITING
121,56,795,11,1,1,1.0,0.72,0.92,80,RAC
14,50,298,6,2,0,0.45,0.8,0.92,70,CONFIRMED
145,43,1348,11,1,0,1.0,0.72,0.95,75,WAITING
126,1,1592,5,2,0,1.0,0.65,0.95,77,WAITING
90,59,1674,8,1,0,0.35,0.78,0.95,79,CONFIRMED
71,42,317,4,6,0,0.75,0.65,0.92,85,CONFIRMED
81,11,691,2,3,0,1.0,0.78,0.75,54,WAITING
75,56,1681,2,2,0,0.75,0.78,0.92,83,CONFIRMED
93,18,816,2,4,0,0.75,0.72,0.75,70,WAITING
151,46,1404,4,2,0,0.75,0.78,0.92,84,WAITING
129,7,1664,10,0,1,0.75,0.8,0.75,93,WAITING
111,37,278,7,2,0,0.35,0.72,0.92,65,WAITING
170,15,1514,1,0,0,0.45,0.78,0.75,67,WAITING
3,6,1155,4,3,0,0.45,0.65,0.92,88,RAC
4,27,531,3,4,0,0.45,0.72,0.75,70,CONFIRMED
128,36,647,4,3,0,0.35,0.78,0.92,65,WAITING
119,47,547,6,4,0,1.0,0.85,0.75,65,RAC
16,15,1205,1,6,0,0.75,0.65,0.95,83,RAC
67,38,516,2,2,0,0.35,0.72,0.95,78,RAC
67,40,1500,12,0,0,1.0,0.78,0.75,65,CONFIRMED
178,44,373,3,6,0,0.45,0.72,0.75,68,WAITING
132,2,1014,1,2,0,0.75,0.8,0.95,80,WAITING
42,49,1487,12,2,0,0.45,0.65,0.92,86,CONFIRMED
79,44,1677,6,4,0,0.75,0.85,0.92,97,RAC
80,1,953,2,0,0,0.45,0.85,0.75,84,WAITING
69,50,701,7,3,0,0.75,0.8,0.95,76,CONFIRMED
164,20,1291,6,4,0,0.75,0.78,0.95,87,WAITING
75,56,982,12,4,0,1.0,0.85,0.92,94,CONFIRMED
103,20,1348,3,5,0,1.0,0.85,0.92,96,WAITING
161,58,482,3,1,0,1.0,0.65,0.95,62,WAITING
13,4,1560,5,0,0,0.35,0.78,0.75,64,RAC
125,32,1510,11,3,1,0.45,0.85,0.92,100,WAITING
41,49,919,2,3,0,0.35,0.78,0.95,86,CONFIRMED
113,28,738,6,1,0,1.0,0.65,0.95,77,WAITING
112,23,1480,3,1,0,1.0,0.85,0.95,94,WAITING
2,56,1676,3,5,0,1.0,0.72,0.95,95,CONFIRMED
89,3,271,7,6,0,0.35,0.72,0.92,77,WAITING
59,53,728,6,2,0,0.35,0.8,0.95,70,CONFIRMED
129,31,838,2,1,0,0.75,0.65,0.95,64,WAITING
70,29,1135,7,5,0,0.35,0.65,0.92,89,WAITING
13,17,1104,6,1,0,0.75,0.78,0.75,71,CONFIRMED
172,36,754,2,0,0,0.75,0.72,0.95,62,WAITING
104,28,1477,3,4,0,0.75,0.8,0.75,74,WAITING
117,39,195,7,2,0,0.45,0.78,0.92,72,WAITING
58,58,726,6,6,0,1.0,0.8,0.95,79,CONFIRMED
160,1,745,2,3,0,1.0,0.65,0.92,76,WAITING
53,3,1599,12,3,0,0.35,0.8,0.92,82,WAITING
63,1,825,4,3,1,1.0,0.78,0.95,94,WAITING
173,5,725,7,0,0,1.0,0.65,0.92,66,WAITING
77,56,1248,2,1,0,1.0,0.72,0.75,68,CONFIRMED
76,59,346,10,5,1,1.0,0.65,0.95,100,CONFIRMED
133,38,720,9,0,0,0.45,0.78,0.92,62,WAITING
138,5,392,10,2,1,1.0,0.78,0.75,69,WAITING
77,33,718,12,6,0,1.0,0.8,0.92,76,RAC
104,4,856,3,4,0,0.35,0.85,0.75,65,WAITING
20,18,1278,9,4,0,1.0,0.8,0.92,98,RAC
27,57,821,5,6,0,0.35,0.8,0.75,58,CONFIRMED
40,58,643,5,5,1,1.0,0.85,0.95,100,CONFIRMED
102,18,1612,3,4,0,0.45,0.72,0.95,95,WAITING
5,18,544,5,6,1,1.0,0.78,0.92,93,CONFIRMED
40,4,1163,12,2,0,0.45,0.72,0.92,90,WAITING
80,17,1406,5,2,1,0.75,0.78,0.92,100,WAITING
50,11,1118,10,6,0,0.35,0.85,0.75,83,WAITING
15,11,709,4,4,0,0.45,0.8,0.95,81,CONFIRMED
125,2,570,12,2,0,1.0,0.78,0.95,63,WAITING
132,3,695,2,6,0,1.0,0.65,0.92,73,WAITING
140,53,945,5,4,0,0.45,0.8,0.95,89,WAITING
57,29,677,3,3,0,1.0,0.72,0.92,78,CONFIRMED
137,29,309,11,2,0,1.0,0.8,0.95,68,WAITING
158,41,1202,11,5,1,0.45,0.65,0.75,90,WAITING
32,39,203,12,3,0,0.75,0.78,0.92,74,CONFIRMED
81,0,1142,8,3,0,0.75,0.85,0.92,93,WAITING
156,40,835,2,6,0,0.75,0.8,0.75,63,WAITING
8,32,646,1,0,0,0.75,0.65,0.75,56,CONFIRMED
163,60,1368,4,6,1,1.0,0.65,0.92,100,WAITING
128,22,341,2,2,0,0.35,0.72,0.75,56,WAITING
29,19,229,9,3,0,1.0,0.8,0.95,75,CONFIRMED
91,56,1087,6,6,0,0.75,0.8,0.92,87,CONFIRMED
88,43,996,8,3,0,0.35,0.78,0.95,88,WAITING
106,36,957,4,6,0,0.45,0.78,0.75,82,WAITING
53,1,652,10,6,0,0.45,0.65,0.95,83,WAITING
154,9,925,9,2,0,0.35,0.78,0.92,85,WAITING
43,42,835,7,2,0,1.0,0.78,0.75,62,CONFIRMED
133,27,321,8,6,0,1.0,0.85,0.75,79,WAITING
92,43,1075,10,6,0,0.45,0.8,0.75,80,WAITING
7,37,1142,2,1,0,1.0,0.8,0.95,90,CONFIRMED
75,56,369,12,5,0,1.0,0.65,0.95,83,CONFIRMED
141,5,200,12,1,0,0.45,0.72,0.75,63,WAITING
19,50,1256,2,1,0,0.35,0.65,0.92,80,CONFIRMED
130,34,1485,1,1,0,0.75,0.85,0.75,69,WAITING
180,11,1538,5,1,1,1.0,0.78,0.95,100,WAITING
98,28,889,12,6,0,0.75,0.8,0.92,83,WAITING
49,20,1380,3,3,0,0.45,0.85,0.92,97,RAC
1,19,360,11,3,0,0.35,0.85,0.92,85,CONFIRMED
17,42,1577,7,2,0,1.0,0.72,0.92,76,CONFIRMED
120,33,1248,4,2,1,0.45,0.78,0.75,83,WAITING
52,45,826,11,5,0,0.35,0.78,0.95,80,CONFIRMED
59,42,1519,8,5,0,1.0,0.85,0.75,82,CONFIRMED
48,56,730,11,5,1,1.0,0.65,0.95,90,CONFIRMED
77,53,966,8,2,0,1.0,0.78,0.95,87,CONFIRMED
137,17,650,8,3,0,0.45,0.85,0.92,79,WAITING
16,0,1335,2,3,0,0.35,0.85,0.75,74,WAITING
8,24,1358,6,2,0,0.35,0.65,0.92,86,CONFIRMED
114,7,827,6,1,0,1.0,0.85,0.75,72,WAITING
14,25,1168,6,2,0,0.35,0.85,0.95,87,CONFIRMED
93,26,1251,2,0,0,0.75,0.72,0.95,88,WAITING
58,17,367,12,3,0,0.75,0.78,0.95,71,WAITING
94,43,768,3,5,0,0.35,0.78,0.75,68,RAC
41,5,1436,6,1,0,0.75,0.72,0.95,77,WAITING
122,35,565,5,0,0,0.45,0.65,0.75,58,WAITING
44,31,1156,11,0,0,0.75,0.8,0.92,74,CONFIRMED
42,1,1393,3,3,0,0.45,0.8,0.92,74,WAITING
29,46,238,4,1,0,0.75,0.65,0.92,76,CONFIRMED
91,13,1073,3,3,0,0.35,0.72,0.92,75,WAITING
43,25,1504,5,2,1,1.0,0.72,0.95,100,RAC
147,6,210,12,4,0,0.35,0.85,0.95,84,WAITING
156,4,1553,8,6,0,1.0,0.8,0.92,98,WAITING
2,27,1394,10,6,0,0.35,0.85,0.75,80,CONFIRMED
168,34,466,8,6,0,0.35,0.8,0.75,62,WAITING
82,5,1381,4,0,0,1.0,0.78,0.75,61,WAITING
21,14,948,8,5,0,0.75,0.72,0.75,81,RAC
17,54,1565,7,6,0,0.45,0.72,0.95,86,CONFIRMED
63,16,905,6,6,0,1.0,0.85,0.75,93,WAITING
161,5,929,9,5,0,0.75,0.65,0.75,69,WAITING
74,31,256,2,3,0,0.35,0.72,0.95,72,RAC
82,18,657,9,0,0,1.0,0.8,0.75,56,WAITING
115,35,1149,4,4,0,0.75,0.65,0.92,84,WAITING
45,39,1162,5,0,1,1.0,0.85,0.75,94,CONFIRMED
81,1,1533,10,4,1,0.45,0.8,0.75,88,WAITING
114,35,1082,12,2,0,0.35,0.65,0.75,73,WAITING
107,18,362,5,2,1,0.45,0.65,0.95,96,WAITING
115,5,440,5,2,1,0.45,0.8,0.92,85,WAITING
163,36,1650,3,6,0,0.45,0.78,0.92,96,WAITING
59,41,1636,8,6,0,0.45,0.85,0.75,84,CONFIRMED
81,34,796,9,3,0,1.0,0.65,0.95,70,RAC
118,30,1193,10,3,1,1.0,0.72,0.95,100,WAITING
118,33,1442,6,3,0,0.45,0.65,0.92,88,WAITING
130,40,1171,12,3,0,0.75,0.78,0.92,79,WAITING
168,47,157,3,0,0,0.45,0.65,0.75,63,WAITING
113,24,926,7,6,0,1.0,0.78,0.95,93,WAITING
54,9,1401,6,2,0,0.35,0.72,0.95,74,WAITING
128,31,1681,10,4,0,1.0,0.65,0.95,84,WAITING
68,12,412,10,4,1,0.35,0.85,0.95,100,WAITING
30,21,1653,3,5,0,1.0,0.85,0.95,99,RAC
127,33,438,9,4,0,1.0,0.8,0.92,71,WAITING
2,12,730,7,2,0,0.75,0.65,0.92,78,CONFIRMED
124,24,1069,4,0,1,0.45,0.85,0.92,100,WAITING
54,4,1104,8,1,0,0.75,0.8,0.92,83,WAITING
105,6,1310,12,4,0,1.0,0.8,0.75,75,WAITING
104,23,454,6,6,0,0.45,0.85,0.75,76,WAITING
92,60,206,12,2,0,0.35,0.8,0.75,59,CONFIRMED
41,17,662,1,1,0,0.75,0.65,0.75,52,RAC
170,21,297,12,0,0,0.75,0.8,0.95,71,WAITING
40,24,577,11,5,1,0.75,0.65,0.92,100,RAC
105,45,601,5,0,1,0.75,0.65,0.95,83,WAITING
26,43,1113,6,2,0,0.75,0.78,0.75,72,CONFIRMED
149,13,662,7,1,0,0.75,0.8,0.95,73,WAITING
97,23,1130,12,5,0,1.0,0.8,0.92,90,WAITING
104,29,1091,5,1,1,0.45,0.8,0.92,93,WAITING
144,56,1569,2,3,0,0.75,0.72,0.92,86,WAITING
53,27,735,2,0,0,0.45,0.85,0.75,63,RAC
105,44,1083,7,1,0,1.0,0.65,0.95,80,WAITING
28,37,464,1,1,0,0.35,0.65,0.95,74,CONFIRMED
18,15,167,4,2,0,0.75,0.65,0.95,65,CONFIRMED
132,3,1561,5,4,1,0.35,0.85,0.75,100,WAITING
165,32,1168,11,1,0,0.75,0.78,0.95,88,WAITING
134,15,1469,10,3,0,1.0,0.8,0.95,80,WAITING
92,41,1681,2,5,0,0.45,0.78,0.95,82,RAC
72,28,1323,1,2,0,0.75,0.72,0.75,63,RAC
13,46,1386,10,3,0,0.45,0.65,0.95,89,CONFIRMED
28,57,1041,12,4,0,0.45,0.65,0.75,77,CONFIRMED
148,1,1367,8,1,0,0.35,0.8,0.95,82,WAITING
170,50,550,7,3,0,1.0,0.78,0.95,75,WAITING
44,2,1252,10,0,0,0.35,0.72,0.92,83,WAITING
91,13,251,3,5,0,0.75,0.78,0.75,61,WAITING
97,23,1670,10,5,0,1.0,0.78,0.95,97,WAITING
136,43,1000,12,6,0,1.0,0.65,0.92,92,WAITING
12,44,899,2,0,0,1.0,0.85,0.95,88,CONFIRMED
93,16,702,11,2,0,1.0,0.72,0.95,64,WAITING
28,27,1041,12,6,0,0.45,0.8,0.95,86,CONFIRMED
138,29,999,11,6,1,1.0,0.8,0.92,100,WAITING
92,13,1601,8,4,0,0.35,0.72,0.92,97,WAITING
113,32,896,9,0,0,0.45,0.65,0.95,72,WAITING
3,51,441,10,5,1,0.35,0.65,0.92,97,CONFIRMED
42,24,824,1,3,0,0.45,0.65,0.75,51,CONFIRMED
28,29,1242,10,1,1,0.75,0.72,0.75,90,CONFIRMED
175,34,1418,12,3,0,0.75,0.65,0.92,88,WAITING
99,58,463,8,4,0,0.45,0.78,0.75,62,CONFIRMED
6,11,628,12,3,0,0.45,0.65,0.75,58,RAC
69,11,1037,8,1,0,0.35,0.8,0.95,90,WAITING
65,58,1162,10,0,1,0.75,0.85,0.95,100,CONFIRMED
30,17,1040,6,6,0,0.35,0.78,0.75,73,CONFIRMED
150,46,1200,10,1,0,0.45,0.8,0.75,66,WAITING
49,52,1521,5,2,0,0.35,0.78,0.75,72,CONFIRMED
49,45,982,1,2,0,0.75,0.65,0.92,89,CONFIRMED
32,1,421,5,1,1,0.45,0.85,0.75,84,WAITING
29,29,1338,3,4,0,1.0,0.8,0.95,92,CONFIRMED
134,24,224,4,3,0,0.75,0.72,0.75,62,WAITING
43,29,1212,3,5,0,1.0,0.8,0.95,95,CONFIRMED
9,10,543,8,1,0,0.75,0.8,0.95,78,RAC
114,8,1242,6,6,0,0.45,0.65,0.95,88,WAITING
15,33,836,4,6,1,0.35,0.72,0.92,92,CONFIRMED
112,35,464,9,6,0,1.0,0.78,0.95,73,WAITING
15,22,319,7,3,0,0.35,0.8,0.95,66,CONFIRMED
23,11,1417,1,4,0,0.75,0.78,0.92,85,RAC
45,10,1655,12,0,0,0.45,0.78,0.92,74,WAITING
144,34,1511,2,6,0,1.0,0.72,0.92,85,WAITING
72,24,1652,12,5,0,1.0,0.78,0.95,91,WAITING
158,16,1357,7,2,0,0.75,0.65,0.92,84,WAITING
114,48,330,7,4,0,1.0,0.78,0.95,79,RAC
13,58,1465,7,5,0,1.0,0.8,0.95,83,CONFIRMED
7,30,778,8,4,0,0.35,0.8,0.95,86,CONFIRMED
40,7,1460,4,5,0,1.0,0.72,0.95,90,WAITING
36,29,429,2,1,0,0.35,0.85,0.75,72,CONFIRMED
140,10,179,1,4,0,1.0,0.85,0.95,80,WAITING
109,41,427,12,2,0,0.45,0.85,0.95,84,WAITING
171,40,281,2,0,0,1.0,0.8,0.92,67,WAITING
94,21,1210,8,4,0,0.75,0.78,0.95,82,WAITING
179,2,1499,3,0,0,0.45,0.8,0.95,78,WAITING
71,10,1275,12,1,0,0.35,0.85,0.92,95,WAITING
95,32,1017,11,3,0,0.75,0.78,0.75,66,WAITING
145,53,354,7,0,0,0.35,0.65,0.92,64,WAITING
94,55,193,2,0,0,0.35,0.85,0.75,73,CONFIRMED
154,45,892,6,0,0,0.75,0.8,0.75,55,WAITING
151,47,719,1,3,0,1.0,0.8,0.92,65,WAITING
173,54,257,11,6,1,0.35,0.65,0.95,92,WAITING
60,53,1034,5,6,1,0.35,0.8,0.95,100,CONFIRMED
17,1,238,12,1,0,1.0,0.72,0.92,74,WAITING
29,33,1659,12,3,0,0.45,0.8,0.95,81,CONFIRMED
91,0,719,3,5,0,1.0,0.85,0.92,87,WAITING
97,26,1440,7,5,0,0.45,0.8,0.92,96,WAITING
123,6,1392,4,6,1,0.35,0.72,0.75,86,WAITING
88,58,347,9,3,0,0.45,0.85,0.95,84,CONFIRMED
2,35,892,4,5,1,0.35,0.72,0.92,100,CONFIRMED
29,46,769,2,5,0,0.75,0.78,0.92,83,CONFIRMED
40,56,1073,9,0,0,1.0,0.8,0.92,84,CONFIRMED
88,27,1007,3,3,0,0.35,0.78,0.92,75,WAITING
65,4,1328,3,1,0,1.0,0.85,0.92,87,WAITING
134,56,964,7,5,0,0.45,0.78,0.75,72,WAITING
11,29,377,12,6,0,1.0,0.65,0.92,85,CONFIRMED
12,7,1425,8,5,0,1.0,0.78,0.92,92,RAC
52,31,1597,7,2,0,0.35,0.85,0.75,69,RAC
95,23,761,3,1,0,1.0,0.8,0.95,63,WAITING
139,12,333,7,2,0,0.75,0.85,0.95,83,WAITING
42,22,507,1,3,0,0.35,0.72,0.92,72,RAC
112,8,600,9,6,0,1.0,0.65,0.95,76,WAITING
88,12,825,6,5,0,0.45,0.65,0.75,64,WAITING
13,8,395,4,1,1,1.0,0.65,0.92,80,RAC
14,25,1303,3,3,0,0.75,0.85,0.75,82,CONFIRMED
63,45,1324,4,2,0,0.45,0.72,0.92,79,CONFIRMED
45,37,1362,5,5,1,0.75,0.78,0.75,96,CONFIRMED
137,34,436,5,6,0,1.0,0.78,0.75,56,WAITING
142,35,1413,2,1,0,0.45,0.72,0.92,74,WAITING
78,49,1201,8,6,0,0.35,0.72,0.75,72,CONFIRMED
175,54,1545,10,0,1,1.0,0.65,0.75,82,WAITING
177,60,1039,6,0,0,0.45,0.65,0.95,76,WAITING
126,58,1612,11,3,0,0.45,0.72,0.92,79,RAC
47,45,201,10,4,0,0.35,0.8,0.92,70,CONFIRMED
111,49,580,6,1,0,0.35,0.72,0.92,77,RAC
148,53,1335,9,0,0,0.45,0.78,0.95,84,WAITING
146,12,1152,2,4,0,0.45,0.85,0.75,91,WAITING
49,47,998,5,3,0,0.35,0.65,0.95,81,CONFIRMED
38,25,598,8,4,0,1.0,0.65,0.75,68,RAC
123,5,1216,10,1,0,0.45,0.8,0.92,88,WAITING
160,27,586,1,3,0,0.75,0.8,0.95,78,WAITING
114,26,1463,3,4,0,0.45,0.72,0.95,90,WAITING
153,42,1103,7,2,0,0.35,0.8,0.75,68,WAITING
17,10,237,6,4,0,1.0,0.78,0.95,82,RAC
80,48,731,7,6,0,0.45,0.78,0.92,84,CONFIRMED
70,17,336,1,0,0,0.75,0.8,0.95,77,WAITING
4,19,344,11,6,1,0.75,0.72,0.75,74,CONFIRMED
110,33,520,8,6,0,0.45,0.85,0.75,69,WAITING
60,50,1207,12,3,0,1.0,0.85,0.75,83,CONFIRMED
171,22,410,2,6,0,0.35,0.8,0.95,81,WAITING
18,28,1670,7,4,0,0.75,0.8,0.75,68,CONFIRMED
96,38,851,8,5,0,0.35,0.65,0.95,76,WAITING
118,47,1523,11,1,1,1.0,0.65,0.92,96,WAITING
165,59,715,2,4,0,0.35,0.8,0.92,79,WAITING
85,1,180,12,0,0,0.45,0.8,0.92,65,WAITING
74,31,411,9,3,0,0.45,0.78,0.95,62,WAITING
126,49,1332,2,5,0,1.0,0.85,0.92,100,WAITING
93,2,1398,5,2,0,0.75,0.78,0.95,89,WAITING
106,38,244,12,6,0,0.75,0.78,0.75,70,WAITING
3,26,1560,5,6,1,1.0,0.72,0.75,88,CONFIRMED
98,29,734,10,3,0,1.0,0.8,0.75,49,WAITING
57,1,1178,11,5,1,1.0,0.65,0.92,100,WAITING
159,40,567,7,6,0,0.75,0.85,0.95,80,WAITING
50,25,742,1,5,0,1.0,0.72,0.75,62,RAC
135,60,1507,12,1,0,0.35,0.78,0.75,65,RAC
2,43,1279,11,6,0,0.45,0.78,0.95,96,CONFIRMED
72,22,1106,3,0,0,0.75,0.8,0.95,87,WAITING
129,6,1329,8,1,0,1.0,0.65,0.75,63,WAITING
63,29,1061,7,1,0,0.35,0.85,0.92,98,WAITING
16,1,1065,6,0,0,0.35,0.8,0.95,83,RAC
71,14,969,4,3,1,0.45,0.65,0.92,100,WAITING
47,48,699,5,0,1,0.35,0.85,0.92,100,CONFIRMED
83,18,353,12,6,0,1.0,0.85,0.95,83,WAITING
13,19,1473,10,3,1,0.45,0.78,0.95,100,RAC
56,41,687,7,5,0,0.75,0.65,0.92,75,CONFIRMED
172,45,463,3,6,0,0.45,0.8,0.92,74,WAITING
94,46,873,11,1,1,0.35,0.8,0.92,92,WAITING
